1. Descriptive statistics for “Trip duration” and “User age”,,,,,2. Pick-up locations,,,,3. Average of Trip Duration among age groups,,,,5. Number of users by age group,,,,6. One-time users vs long-term subscribers on different days of the week,,,
Statistic,Trip duration,Age,,,Start station name,Count,,,Age groups,Average of Trip Duration,,,Age groups,Count,,,Weekday,One-time user,Subscriber,Total
Mean,13.5,41,,,5 Corners Library,1586,,,18-24,13.6,,,18-24,322,,,Sunday,2634,13352,15986
Median,6,39,,,Astor Place,248,,,25-34,11.5,,,25-34,31055,,,Monday,1169,20656,21825
Min,1,21,,,Baldwin at Montgomery,2562,,,35-44,14.9,,,35-44,72675,,,Tuesday,744,21888,22632
Max,35069,90,,,Bayside Park,180,,,45-54,13.0,,,45-54,26619,,,Wednesday,872,23359,24231
,,,,,Bethune Center,23,,,55-64,11.9,,,55-64,11571,,,Thursday,894,22870,23764
,,,,,Brunswick & 6th,826,,,65-74,11.6,,,65-74,4114,,,Friday,1012,20715,21727
,,,,,Brunswick St,5792,,,75+,21.3,,,75+,185,,,Saturday,2202,14174,16376
,,,,,Central Ave,1295,,,Total,13.5,,,Total,146541,,,Total,9527,137014,146541
,,,,,Christ Hospital,1578,,,,,,,,,,,,,,
,,,,,City Hall,4758,,,,,,,,,,,,,,
,,,,,Columbia Park,140,,,,,,,,,,,,,,
,,,,,Columbus Drive,1488,,,,,,,,,,,,,,
,,,,,Communipaw & Berry Lane,58,,,4. Average of Trip Duration among months,,,,,,,,,,,
,,,,,Danforth Light Rail,45,,,Month,Average of Trip Duration,,,,,,,,,,
,,,,,Dey St,1210,,,1,9.4,,,,,,,,,,
,,,,,Dixon Mills,1633,,,2,13.9,,,,,,,,,,
,,,,,Essex Light Rail,5530,,,3,10.4,,,,,,,,,,
,,,,,Exchange Place,11328,,,4,12.9,,,,,,,,,,
,,,,,Garfield Ave Station,570,,,5,14.9,,,,,,,,,,
,,,,,Grove St PATH,17176,,,6,14.1,,,,,,,,,,
,,,,,Hamilton Park,9434,,,7,13.4,,,,,,,,,,
,,,,,Heights Elevator,1022,,,8,12.3,,,,,,,,,,
,,,,,Hilltop,1549,,,9,18.5,,,,,,,,,,
,,,,,JC Medical Center,2835,,,10,16.3,,,,,,,,,,
,,,,,Jersey & 3rd,1885,,,11,11.6,,,,,,,,,,
,,,,,Jersey & 6th St,2098,,,12,10.3,,,,,,,,,,
,,,,,Lafayette Park,458,,,Total,13.5,,,,,,,,,,
,,,,,Leonard Gordon Park,265,,,,,,,,,,,,,,
,,,,,Liberty Light Rail,3544,,,,,,,,,,,,,,
,,,,,Lincoln Park,1903,,,,,,,,,,,,,,
,,,,,Manila & 1st,993,,,,,,,,,,,,,,
,,,,,Marin Light Rail,2169,,,,,,,,,,,,,,
,,,,,McGinley Square,4029,,,,,,,,,,,,,,
,,,,,MLK Light Rail,133,,,,,,,,,,,,,,
,,,,,Monmouth and 6th,1865,,,,,,,,,,,,,,
,,,,,Morris Canal,3168,,,,,,,,,,,,,,
,,,,,Newark Ave,5614,,,,,,,,,,,,,,
,,,,,Newport PATH,8127,,,,,,,,,,,,,,
,,,,,Newport Pkwy,5227,,,,,,,,,,,,,,
,,,,,NJCU,348,,,,,,,,,,,,,,
,,,,,North St,841,,,,,,,,,,,,,,
,,,,,Oakland Ave,2461,,,,,,,,,,,,,,
,,,,,Paulus Hook,4601,,,,,,,,,,,,,,
,,,,,Pershing Field,2038,,,,,,,,,,,,,,
,,,,,Riverview Park,1058,,,,,,,,,,,,,,
,,,,,Sip Ave,9971,,,,,,,,,,,,,,
,,,,,Union St,207,,,,,,,,,,,,,,
,,,,,Van Vorst Park,5346,,,,,,,,,,,,,,
,,,,,Warren St,5104,,,,,,,,,,,,,,
,,,,,West Side Light Rail,222,,,,,,,,,,,,,,
,,,,,Total,146541,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
